topic,term,weightage
1,access,-0.5257360701245056
1,early,-0.5342724311676407
1,review,-0.5903516847263802
1,game,-6.572560982988708
1,like,-7.827437613777903
1,dont,-7.97604151703785
1,good,-7.9767623395590945
1,get,-7.983028637092235
1,play,-7.987746555802428
1,time,-8.085617442347324
2,game,-0.4351577651757699
2,great,-1.4671210528425602
2,good,-1.6755195852941647
2,fun,-1.7141592604890183
2,play,-1.807227738376634
2,like,-1.9375400091157626
2,one,-2.0550521424629054
2,really,-2.056384693972043
2,best,-2.111635412383584
2,get,-2.1448630656276007
3,great,-0.11849701082256613
3,game,-2.003279738690341
3,love,-4.175083486181035
3,soundtrack,-5.436303628051323
3,access,-5.516817744892329
3,early,-5.78931460994588
3,awesome,-6.03446348825922
3,atmosphere,-6.318367143319913
3,awsome,-6.671397557075905
3,storyline,-6.871241695215554
4,best,-0.5458953087051905
4,ever,-0.947510306479245
4,played,-1.391129813690232
4,one,-1.4759338146575083
4,ive,-1.9711085086290134
4,game,-2.2778070553100016
4,1010,-2.6129087617299134
4,love,-3.0942280868452308
4,made,-3.3699039445893595
4,year,-3.5489998722978187
5,good,-0.2847799569119
5,best,-1.6742546507266818
5,game,-1.9998493051165338
5,ever,-2.1648136422074615
5,pretty,-2.9294416030462975
5,played,-2.929769726684366
5,one,-3.449061185108674
5,great,-3.5998480476300028
5,graphic,-4.036030079089125
5,ive,-4.058079580152956
6,fun,-0.3345351943142567
6,best,-1.2382156563364535
6,good,-1.4713286807263617
6,ever,-1.6954276929464365
6,friend,-1.8555795445527299
6,play,-2.2051450724225172
6,played,-2.423529038367123
6,really,-3.242360896580939
6,ive,-3.3578642204184135
6,lot,-3.7001721516923713
7,love,-0.2602917471007993
7,game,-1.0948423462184038
7,awesome,-1.653817218948368
7,nice,-2.703039446349072
7,amazing,-2.9799965933808776
7,cool,-3.536180476442682
7,lt3,-3.87532905860799
7,1010,-4.166223799239609
7,ing,-4.268629427325357
7,buy,-4.274659773964001
8,1010,-0.05995967068262745
8,would,-1.505771281459157
8,play,-1.8487703418357087
8,friend,-2.8339304523862334
8,good,-2.949432412695904
8,buy,-3.3625890709358632
8,amazing,-3.43373399297184
8,ign,-3.6571435252270996
8,life,-3.7622541078162377
8,recommend,-3.8751436447823733
9,awesome,-0.5376451986411983
9,game,-1.0575805226813288
9,nice,-1.7627598045138573
9,play,-1.7821544718834483
9,buy,-2.442193403071979
9,cool,-3.070850794123836
9,friend,-3.1621699327892863
9,amazing,-3.5985794564423688
9,free,-3.74169419829091
9,must,-3.8595782487016774
10,play,-0.22142632526617273
10,friend,-1.3186915991902655
10,love,-2.4401266229966905
10,free,-2.5637042854699326
10,dont,-2.6744926859310887
10,cant,-2.8607612709046895
10,good,-2.939062583798158
10,buy,-2.990146271538495
10,want,-3.1098091108066432
10,great,-3.1743962432932133
