topic,term,weightage
1,game,-0.49302677026802183
1,play,-1.425321031311124
1,dont,-1.4937783213645477
1,sucks,-1.5363171558644932
1,life,-1.7815953533306552
1,ruined,-1.8345559968682226
1,bad,-1.9302590261630117
1,hate,-1.969428795337684
1,ing,-1.9900126712291557
1,worst,-2.087166465625893
2,ruined,-0.3439955740609615
2,life,-0.42128850524788636
2,ruin,-3.9171496319975945
2,wasted,-3.938455886412875
2,destroyed,-4.466774701823173
2,social,-4.556814025053308
2,ruins,-4.858320109049165
2,ign,-5.2052297057689705
2,lt,-5.325847889965289
2,gpa,-5.49282113570457
3,sucks,-0.059782882384076495
3,ruined,-3.2195082204899244
3,life,-3.3470639911666136
3,balls,-3.64530625371685
3,ing,-4.605207553968441
3,game,-4.656846501980733
3,jump,-4.919779168238363
3,lol,-5.102586757023432
3,lt,-5.359752617717202
3,dis,-5.575749479085164
4,hate,-0.13403394342514802
4,ing,-1.5037410827525872
4,game,-1.9879129404439637
4,portals,-3.9185341747737366
4,hard,-3.9277512890756645
4,russians,-4.0895856349573965
4,much,-4.297327305058454
4,makes,-4.468773196734578
4,piece,-4.483459671444018
4,humanity,-5.080006007470012
5,league,-0.45199832235402204
5,legends,-0.527524083234935
5,bad,-1.563858413542406
5,hate,-1.662881568910473
5,better,-2.2972666403645636
5,dota,-2.4159208910231804
5,play,-2.9204139891596843
5,like,-3.3566918983379175
5,smite,-3.493122317901681
5,instead,-3.5409303007622235
6,mods,-0.6828466759321287
6,bad,-0.7852311861104107
6,paid,-1.0623531031204134
6,hate,-1.5614329310463357
6,pay,-2.39514109695523
6,valve,-2.4182364976826705
6,bethesda,-2.8899530117665426
6,mod,-2.9721613718637974
6,good,-3.066758690140596
6,skyrim,-3.0960226860592828
7,bad,-0.25332101012447733
7,game,-2.5971691710996887
7,worst,-2.645040226775944
7,ever,-3.019170321196236
7,community,-3.122789734511571
7,graphics,-3.377562805422625
7,good,-3.6850747685142613
7,played,-3.8979353216443933
7,servers,-4.184410219548121
7,life,-4.405464336626507
8,worst,-0.5953552986689101
8,ever,-0.8644938937271645
8,mods,-1.466339850658377
8,paid,-1.8117989836820132
8,played,-1.959697494873602
8,community,-2.0498583739745166
8,league,-2.2387822827173185
8,legends,-2.282157455725391
8,ive,-2.4701912876678245
8,bad,-2.5449484326066414
9,ing,-0.4624530541959698
9,update,-1.6356780793800145
9,dota,-1.6879071420359182
9,new,-2.0653529616824664
9,boring,-2.114842098829401
9,fix,-2.3639622721789726
9,cant,-2.618996755167932
9,patch,-2.708128149134783
9,get,-2.7851752532887746
9,good,-2.864201471445156
10,ing,-0.509357157700115
10,dont,-1.3876288227668085
10,bad,-1.6555447594800157
10,mods,-1.8050546684961788
10,play,-1.9033154185531749
10,paid,-2.1325759584160418
10,worst,-2.29170788968932
10,ever,-2.468588267055281
10,league,-2.735859189457783
10,legends,-2.832448253719601
