topic,term,weightage
1,game,-0.3955268438059521
1,best,-1.160405930072951
1,great,-1.2764441747014135
1,ever,-1.5905324394156948
1,good,-1.6108697469425612
1,play,-1.7764636616550558
1,nice,-1.7894811733061275
1,fun,-1.839898933611098
1,played,-2.015238222462435
1,love,-2.118080634452717
2,best,-0.4060638024017932
2,ever,-0.9047445393357911
2,played,-1.5990850661831661
2,one,-1.9271816210125219
2,games,-2.221717310929717
2,ive,-2.2553812235364865
2,rpg,-3.048010790840668
2,world,-3.11421677338519
2,moba,-3.227280901170533
2,made,-3.30969549348459
3,great,-0.31622081474903396
3,best,-1.9002023881243346
3,ever,-2.7613012206574368
3,played,-3.8774957092732776
3,ive,-4.087125580466523
3,one,-4.173555206104914
3,rpg,-4.425212466497335
3,story,-4.5232311298936425
3,world,-4.82114439038562
3,moba,-5.194868455500035
4,nice,-0.31543668943583203
4,great,-1.7304305742685864
4,game,-2.147612320395295
4,best,-2.232491843960622
4,ever,-2.5315124439423813
4,shot,-4.54079900634536
4,strategy,-5.803772436623369
4,ggwp,-6.549478710820418
4,lt,-6.702273509867756
4,disabled,-6.935620048866058
5,good,-0.3360903748474072
5,great,-1.7806148297163655
5,best,-2.0398926198356646
5,game,-2.599240244681485
5,ever,-2.741108378056863
5,pretty,-3.2686280082290047
5,played,-5.480610935747724
5,moba,-5.68646785948414
5,hey,-5.928842340851976
5,verry,-6.016358299510166
6,love,-0.18358950861463327
6,game,-1.5157741735224408
6,awesome,-2.1199218239223225
6,lt,-2.705288585335893
6,dota,-3.1321851951158575
6,cool,-3.235800635595883
6,life,-3.3766550506481328
6,hate,-3.8221515777280772
6,ing,-4.4577719770412445
6,awsome,-4.644275596601479
7,awesome,-0.8534580124972309
7,fun,-1.0647436112208453
7,game,-1.2548723769831984
7,best,-1.747377885814621
7,cool,-1.8904819077986783
7,friends,-2.2738539323889997
7,play,-2.5405232906236646
7,addictive,-2.866390540765653
7,addicting,-3.6075079452780865
7,awsome,-4.525303556738175
8,awesome,-0.4630344316985181
8,cool,-1.808034710501798
8,like,-1.8211612329470535
8,game,-2.1578279342077167
8,amazing,-2.5716739013084244
8,doom,-2.7024980098093625
8,games,-2.765622752405104
8,buy,-2.827109069014344
8,dota,-2.8577974159511523
8,story,-2.8756738460687137
9,play,-0.5161658620316356
9,dota,-0.7495154813031257
9,best,-1.7305156139803615
9,life,-1.7722340993007366
9,friends,-2.415476639389698
9,would,-2.622316220686035
9,moba,-2.8371956529556797
9,free,-2.958199970517681
9,must,-3.2015864648797527
9,lol,-3.3036047502162487
10,cool,-0.08425202612967392
10,game,-2.6577283733886783
10,like,-3.2752898901853964
10,pretty,-3.917437114346373
10,amazing,-3.9753605350591914
10,really,-4.057466639652066
10,playing,-4.5480219825508685
10,get,-4.74374734487352
10,year,-5.063687118345337
10,recommend,-5.0879493286097714
